family,x,y,count
P2,0.06,0.23,11563
P2,0.05,0.23,12282
P2,0.04,0.23,12573
P2,0.04,0.22,11970
P2,-0.03,0.46,5409
P2,-0.04,0.46,4654
P2,-0.05,0.46,4304
P2,-0.21,0.29,1756
P2,-0.21,0.30,2250
P2,-0.20,0.30,1032
P2,-0.20,0.29,571
P2,0.15,0.82,6847
P2,0.16,0.82,5086
P2,0.17,0.82,4740
P2,0.17,0.81,1029
P2,0.18,0.79,2551
P2,0.19,0.79,2136
P2,0.20,0.79,1517
P2,0.20,0.78,5837
P2,0.07,0.33,11870
P2,0.07,0.77,1814
P2,0.08,0.76,45914
P2,0.07,0.76,39815
P2,0.06,0.76,23069
P2,0.01,0.71,22274
P2,0.00,0.68,1932
P2,-0.08,0.33,4604
P2,-0.08,0.34,4563
P2,-0.09,0.34,4615
P2,-0.10,0.34,3359
P2,-0.10,0.33,3802
P2,-0.03,0.49,4303
P2,-0.03,0.50,3949
P2,-0.13,0.54,1745
P2,-0.14,0.54,1483
P2,0.03,1.19,398
P2,0.03,1.20,466
P2,0.04,1.20,610
P2,0.04,1.19,453
P2,-0.01,0.67,2341
P2,-0.01,0.68,16789
P2,-0.02,0.68,42742
P2,-0.02,0.67,9677
P2,-0.03,0.67,53348
P2,-0.22,0.34,315
P2,-0.21,0.34,1446
P2,-0.20,0.34,1637
P2,-0.17,1.25,376
P2,-0.17,1.26,507
P2,-0.16,1.26,408
P2,-0.16,1.25,351
P2,-0.15,1.25,425
P2,0.06,0.63,5441
P2,0.05,0.63,16362
P2,-0.07,0.24,11055
P2,-0.08,0.24,8212
P2,-0.08,0.25,8588
P2,-0.09,0.24,7102
P2,0.02,0.33,6923
P2,0.01,0.33,8055
P2,0.21,0.65,5754
P2,-0.18,0.77,1163
P2,-0.19,0.77,1430
P2,-0.19,0.76,1146
P2,-0.24,0.55,2820
P2,-0.15,0.45,1459
P2,-0.16,0.45,1100
P2,-0.17,0.45,821
P2,0.17,0.95,1005
P2,0.17,0.96,1214
P2,0.18,0.96,1133
P2,0.18,0.95,1475
P2,0.19,0.95,1155
P2,-0.03,0.20,7084
P2,-0.02,0.20,7091
P2,-0.01,0.20,6860
P2,0.07,0.31,6199
P2,0.06,0.31,9796
P2,0.05,0.31,6632
P2,0.05,0.30,7422
P2,-0.07,0.82,2131
P2,-0.07,0.83,1559
P2,-0.06,0.83,2284
P2,0.21,0.29,889
P2,0.05,0.22,10866
P2,-0.03,0.34,7186
P2,-0.03,0.35,6242
P2,0.01,0.64,14232
P2,0.01,0.65,38814
P2,0.02,0.64,2786
P2,-0.24,0.54,2537
P2,-0.23,0.54,2609
P2,0.01,0.44,4407
P2,0.01,0.45,5321
P2,0.00,0.45,4969
P2,0.00,0.44,4618
P2,0.08,0.81,7612
P2,0.08,0.82,1917
P2,0.07,0.82,1832
P2,0.07,0.81,5580
P2,0.06,0.81,2704
P2,0.03,0.74,30008
P2,0.05,0.67,1426
P2,0.05,0.68,4016
P2,0.06,0.68,1123
P2,0.06,0.67,1878
P2,-0.06,0.40,4208
P2,-0.06,0.41,4733
P2,-0.07,0.41,3932
P2,-0.07,0.40,4151
P2,-0.04,0.33,7708
P2,-0.04,0.34,6751
P2,-0.05,0.34,5890
P2,-0.05,0.33,6045
P2,0.05,0.52,2772
P2,0.06,0.52,2550
P2,-0.19,0.87,805
P2,-0.18,0.87,1030
P2,-0.01,0.29,7797
P2,-0.03,0.29,8265
P2,0.04,0.56,2933
P2,0.04,0.57,2515
P2,0.05,0.57,2783
P2,0.05,0.56,2720
P2,0.06,0.56,2770
P2,-0.23,0.42,2186
P2,-0.22,0.42,1039
P2,-0.21,0.42,125
P2,0.06,0.37,4273
