family,x,y,count
P2,-0.22,0.71,684
P2,-0.22,0.70,557
P2,-0.13,0.73,189
P2,-0.14,0.73,561
P2,-0.15,0.73,220
P2,-0.15,0.72,213
P2,-0.08,0.35,920
P2,-0.08,0.36,702
P2,-0.09,0.36,722
P2,0.02,0.32,1413
P2,0.02,0.35,1488
P2,0.01,0.35,1486
P2,0.00,0.35,1225
P2,-0.08,0.40,811
P2,-0.08,0.41,914
P2,-0.09,0.40,1022
P2,0.07,0.32,2409
P2,0.07,0.33,2719
P2,0.08,0.32,821
P2,-0.17,0.77,229
P2,-0.18,0.77,269
P2,-0.04,0.71,331
P2,-0.05,0.71,503
P2,-0.05,0.70,244
P2,0.08,0.38,659
P2,0.09,0.39,714
P2,-0.09,0.60,377
P2,-0.09,0.61,457
P2,0.01,0.25,2326
P2,0.01,0.26,1766
P2,-0.04,0.46,993
P2,-0.05,0.46,1266
P2,-0.06,0.46,1267
P2,-0.23,0.30,580
P2,-0.22,0.30,735
P2,-0.21,0.30,470
P2,0.14,0.61,1723
P2,0.03,0.55,868
P2,0.03,0.56,618
P2,0.08,0.44,638
P2,0.08,0.45,616
P2,0.09,0.45,389
P2,0.09,0.44,480
P2,-0.13,0.41,547
P2,-0.14,0.41,407
P2,-0.15,0.41,192
P2,-0.15,0.40,283
P2,-0.09,0.27,1064
P2,-0.10,0.27,965
P2,-0.10,0.28,826
P2,-0.16,1.13,90
P2,-0.16,1.14,131
P2,-0.17,1.14,197
P2,-0.18,1.14,144
P2,-0.18,1.13,180
P2,0.07,0.80,525
P2,0.07,0.81,1310
P2,0.06,0.80,952
P2,0.06,0.74,954
P2,0.06,0.75,4169
P2,0.07,0.72,6774
P2,0.08,0.72,13043
P2,0.08,0.73,50
P2,-0.24,0.54,645
P2,-0.24,0.53,452
P2,0.04,0.20,1684
P2,-0.20,1.05,236
P2,-0.21,1.05,193
P2,-0.22,1.05,226
P2,-0.03,0.41,1377
P2,-0.03,0.42,1123
P2,-0.02,0.42,827
P2,-0.02,0.41,1072
P2,0.06,1.00,297
P2,0.05,1.00,268
P2,0.04,1.00,139
P2,-0.07,0.23,2265
P2,-0.07,0.24,2361
P2,0.06,0.23,2463
P2,0.06,0.24,2377
P2,0.05,0.28,2280
P2,0.04,0.28,1603
P2,0.03,0.28,1832
P2,0.01,0.78,458
P2,0.01,0.79,432
P2,0.02,0.79,387
P2,0.02,0.78,1028
P2,0.03,0.78,445
P2,0.08,0.74,82
P2,0.09,0.74,208
P2,0.09,0.73,9720
P2,-0.21,1.00,215
P2,-0.20,1.00,127
P2,-0.20,1.01,100
P2,-0.19,1.00,121
P2,-0.21,0.76,352
P2,-0.20,0.76,270
P2,-0.20,0.77,263
P2,-0.19,0.76,211
P2,0.03,0.44,711
P2,0.02,0.45,727
P2,0.02,0.44,1052
P2,0.04,0.39,1021
P2,0.03,0.39,1388
